Property_address,Listing_link,Rent_price,#bedrooms,#bathrooms,Square_footage,images
"5630 Forest Dr, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/5630-Forest-Dr-Flagstaff-AZ-86004/7376320_zpid/,"$3,750/mo",4,3,3300,"['https://photos.zillowstatic.com/fp/48514304fb615f908b54815a8150c547-p_e.jpg','https://photos.zillowstatic.com/fp/30524605d168501c93089cbb8a56006b-p_e.jpg','https://photos.zillowstatic.com/fp/5177a2cf4b58d85ff70dcba1c23509c3-p_e.jpg','https://photos.zillowstatic.com/fp/88ad4de378c76279ce6baa28567eb64b-p_e.jpg','https://photos.zillowstatic.com/fp/d056f702a692d7eb54692a7879d5c7f2-p_e.jpg','https://photos.zillowstatic.com/fp/17e45048eb4510a64cdbd05ceb81198f-p_e.jpg','https://photos.zillowstatic.com/fp/0c03466311fed26317f058160aa45b98-p_e.jpg','https://photos.zillowstatic.com/fp/c44e5a034c0b10d8616e4889054e102d-p_e.jpg','https://photos.zillowstatic.com/fp/671b4a9b614cd33245002200fb2a562d-p_e.jpg','https://photos.zillowstatic.com/fp/47353482d021135b7bf5130f18c1481c-p_e.jpg','https://photos.zillowstatic.com/fp/88671281d6c2e39f2a6489b321cd1f87-p_e.jpg','https://photos.zillowstatic.com/fp/2d0185b4c1afc4960e434497d7f73a89-p_e.jpg','https://photos.zillowstatic.com/fp/52fd1e240ab2553e186b3fcf498b8b25-p_e.jpg','https://photos.zillowstatic.com/fp/8a569d8879c05d50beed25b9209eff2e-p_e.jpg','https://photos.zillowstatic.com/fp/96ceb42957e8f6825456a279fe86f4f0-p_e.jpg','https://photos.zillowstatic.com/fp/e3311cbad572f8542d6da5cc49300ba8-p_e.jpg','https://photos.zillowstatic.com/fp/d005680c4f7ba176f8da41d54fabc36d-p_e.jpg','https://photos.zillowstatic.com/fp/e3ae16ec1bc539892e971775de6c8076-p_e.jpg','https://photos.zillowstatic.com/fp/a664a09bf51390cc4d57a6f9118f4402-p_e.jpg','https://photos.zillowstatic.com/fp/73c4ca5c8110de83614c453bda04cdf8-p_e.jpg','https://photos.zillowstatic.com/fp/47a3842ee0b7fda4ced22327e2006158-p_e.jpg','https://photos.zillowstatic.com/fp/ff25060d0c122d2afdbbc12d5f053c41-p_e.jpg','https://photos.zillowstatic.com/fp/630ab2d7d8798a07f0c9942f2e159208-p_e.jpg']"
"12 E Benton Ave, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/12-E-Benton-Ave-Flagstaff-AZ-86001/7357249_zpid/,"$2,200/mo",2,1,965,"['https://photos.zillowstatic.com/fp/d25012e2b6e77f5a90dbabaf4274811c-p_e.jpg','https://photos.zillowstatic.com/fp/c2b19e238ad91154cb480b2ba2692282-p_e.jpg','https://photos.zillowstatic.com/fp/35b156a0187abd436e43f99bb34ad845-p_e.jpg','https://photos.zillowstatic.com/fp/189ba756e047463b32e74bb483d6bddb-p_e.jpg','https://photos.zillowstatic.com/fp/8708b96f9b730122478b9f2b4e41400a-p_e.jpg','https://photos.zillowstatic.com/fp/dd645173f7900a8eb9e09c23dcf0e844-p_e.jpg','https://photos.zillowstatic.com/fp/c9a9b139d44b2cffcdec205e8853e3e3-p_e.jpg','https://photos.zillowstatic.com/fp/f4d41560e7d2376162ebf7b980c490b0-p_e.jpg','https://photos.zillowstatic.com/fp/64b544086984560fd13752b76aaba35f-p_e.jpg','https://photos.zillowstatic.com/fp/2e0088c4a45872bee8987057ce9c2e81-p_e.jpg']"
"2025 S Thompson Loop, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/2025-S-Thompson-Loop-Flagstaff-AZ-86001/64955161_zpid/,"$2,850/mo",3,2,1663,"['https://photos.zillowstatic.com/fp/6d919548f1145d67f31cec33a6be482a-p_e.jpg','https://photos.zillowstatic.com/fp/be9f38fe08be66bf2e925d576f5747d7-p_e.jpg','https://photos.zillowstatic.com/fp/48300370d8fd9e9874cf26f462a92640-p_e.jpg','https://photos.zillowstatic.com/fp/b77485b57ca61cad2b3a492cb77810ed-p_e.jpg','https://photos.zillowstatic.com/fp/2e9ba1ee97a67945e303241d6e6a8a9e-p_e.jpg','https://photos.zillowstatic.com/fp/365779cc0468e19cbf646a5e458d055c-p_e.jpg','https://photos.zillowstatic.com/fp/80f2da1e4994ea0a6cf4cce8cab51808-p_e.jpg','https://photos.zillowstatic.com/fp/400c27bde9c75c445794b5339a3cd501-p_e.jpg','https://photos.zillowstatic.com/fp/38f24f4a28f788034a2df99054c7d9d7-p_e.jpg','https://photos.zillowstatic.com/fp/453d9df511bb3865cb54f59d506cf8c9-p_e.jpg','https://photos.zillowstatic.com/fp/298bbe4d64de302337944ee93360d9ac-p_e.jpg','https://photos.zillowstatic.com/fp/353de05ac3135e8a706bd367fb2d6566-p_e.jpg','https://photos.zillowstatic.com/fp/fad068004e3213d77ea4e569880893d6-p_e.jpg','https://photos.zillowstatic.com/fp/5e02a3a2508b162c509e7a2354c7c4f4-p_e.jpg','https://photos.zillowstatic.com/fp/8904ea8e8876dc09e07cc3727e48c9eb-p_e.jpg','https://photos.zillowstatic.com/fp/ac1c490957f25a53856d533c4f43682d-p_e.jpg','https://photos.zillowstatic.com/fp/8d9020b136df5cae1c8c24a1cf16d0ad-p_e.jpg','https://photos.zillowstatic.com/fp/2be4447441aeea7e6befc96a5bd594c0-p_e.jpg','https://photos.zillowstatic.com/fp/016c3243c3bdc4fe504246f8b35ddf21-p_e.jpg']"
"717 E Crestview Ave, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/717-E-Crestview-Ave-Flagstaff-AZ-86001/7356230_zpid/,"$2,800/mo",3,2,1580,"['https://photos.zillowstatic.com/fp/e855df08eae4578d86e2ee54e954e699-p_e.jpg','https://photos.zillowstatic.com/fp/606db22af5899854e55aeaa4f77f4576-p_e.jpg','https://photos.zillowstatic.com/fp/f75fda38c4b819ab226ecd144974a109-p_e.jpg','https://photos.zillowstatic.com/fp/ce13235f68090a8fb6ec6af5534fed36-p_e.jpg','https://photos.zillowstatic.com/fp/63e666e9e5f7fd5b895d4dfe5f7e8d66-p_e.jpg','https://photos.zillowstatic.com/fp/f8397051ea9e3eb6b5805346a4445df0-p_e.jpg','https://photos.zillowstatic.com/fp/b5144114141718821aece5769907a383-p_e.jpg']"
"2944 Kona Trl, Flagstaff, AZ 86005",https://www.zillow.com/homedetails/2944-Kona-Trl-Flagstaff-AZ-86005/7368734_zpid/,"$2,995/mo",3,2,1344,"['https://photos.zillowstatic.com/fp/5c3091eb9f3e6b87394f7bb3c0410b80-p_e.jpg','https://photos.zillowstatic.com/fp/bc7fdbb7ecc26ad3c2f08e46fd79aa64-p_e.jpg','https://photos.zillowstatic.com/fp/1435e8fa682c26ff7bfe01cc65c81d64-p_e.jpg','https://photos.zillowstatic.com/fp/b2749f114dd07d379b90b5172a95c8a7-p_e.jpg','https://photos.zillowstatic.com/fp/05cae0075d98e94bd157f2cc1aa28de7-p_e.jpg','https://photos.zillowstatic.com/fp/3ac31f922b5fc2d0b82d5af3c9bf0e73-p_e.jpg','https://photos.zillowstatic.com/fp/72b879276fa2d13f9aa855ec1d24d5c6-p_e.jpg']"
"1408 E Mackenzie Dr, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/1408-E-Mackenzie-Dr-Flagstaff-AZ-86001/71603071_zpid/,"$1,595/mo",1,1,,"['https://photos.zillowstatic.com/fp/75bd9476d14b3d8a980acb3d27d56aae-p_e.jpg','https://photos.zillowstatic.com/fp/b19568f189226bb8677d7f042b2256c5-p_e.jpg','https://photos.zillowstatic.com/fp/67fcc193145d9c95c5dfcfbfe53805b0-p_e.jpg','https://photos.zillowstatic.com/fp/7fa18c7974af856b66be1accac25d0fe-p_e.jpg','https://photos.zillowstatic.com/fp/e90c88b7246dd78969179ca671ed4a85-p_e.jpg','https://photos.zillowstatic.com/fp/d22d5bbc37e4cb907ae6985b19e1258b-p_e.jpg']"
"4030 N Lausanne Way, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/4030-N-Lausanne-Way-Flagstaff-AZ-86004/7361148_zpid/,"$3,900/mo",4,2,2299,"['https://photos.zillowstatic.com/fp/291311a301855c8024ac6b607a1da90a-p_e.jpg','https://photos.zillowstatic.com/fp/ad327a050767cac6c886d235f4090092-p_e.jpg','https://photos.zillowstatic.com/fp/d6238c4c7b5ea5ba41e67e0392f51f8a-p_e.jpg','https://photos.zillowstatic.com/fp/4f436bb2ee12c9c207502fa1342f4eeb-p_e.jpg','https://photos.zillowstatic.com/fp/7d08fd53b281c489f8735c19f108c641-p_e.jpg','https://photos.zillowstatic.com/fp/2136204304f1bfc6ff4fe14883c000d1-p_e.jpg','https://photos.zillowstatic.com/fp/119384e6213c2a982db033227055e6fc-p_e.jpg','https://photos.zillowstatic.com/fp/852dcee78276196d9d8ad50ba21c8fb7-p_e.jpg']"
"2705 W Windtree Dr, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/2705-W-Windtree-Dr-Flagstaff-AZ-86001/251299565_zpid/,"$3,500/mo",4,3,2400,"['https://photos.zillowstatic.com/fp/5bf8e38ad89e51aec1fe0621b1ecd7b0-p_e.jpg','https://photos.zillowstatic.com/fp/e21642dd026eec381a92face442a083a-p_e.jpg','https://photos.zillowstatic.com/fp/4b423c86539b7d9f9cfb858094f3f01a-p_e.jpg','https://photos.zillowstatic.com/fp/e9e7224a98050b310f715350b901b15d-p_e.jpg','https://photos.zillowstatic.com/fp/bcd39f97d19bc824839b2c2d14160388-p_e.jpg','https://photos.zillowstatic.com/fp/198123591be501a12a36fef3d00404e8-p_e.jpg','https://photos.zillowstatic.com/fp/3f1ef3b35476943a727a988861ee2cc7-p_e.jpg','https://photos.zillowstatic.com/fp/1f3ca8c4f1a62c36e9318483a31c295d-p_e.jpg','https://photos.zillowstatic.com/fp/ea5da139bd05b09c77b036ff9bb78f7a-p_e.jpg','https://photos.zillowstatic.com/fp/ed442f1a74cb3ae01ccb1bff1ccb85d2-p_e.jpg','https://photos.zillowstatic.com/fp/1f8bedb7a3577588153f1ddafde410ee-p_e.jpg','https://photos.zillowstatic.com/fp/042091acdb977e0080e1289ab8f7abbd-p_e.jpg','https://photos.zillowstatic.com/fp/bdb49d93b3b9a87cc69fc87a9eea5ed4-p_e.jpg','https://photos.zillowstatic.com/fp/bb86d1c4aadb8aa478e4285d3955cbb8-p_e.jpg','https://photos.zillowstatic.com/fp/6a16213bcdc84af7844fe1ccd792029a-p_e.jpg','https://photos.zillowstatic.com/fp/47540b1cfe83962dfafb8e6805915a06-p_e.jpg','https://photos.zillowstatic.com/fp/fff08226ebb85e8bc601fa8341f22b97-p_e.jpg','https://photos.zillowstatic.com/fp/48bd6ec492bbb37b65c85bcb27ef5662-p_e.jpg','https://photos.zillowstatic.com/fp/7074d678be937673c8465b4e974d1f1b-p_e.jpg','https://photos.zillowstatic.com/fp/5dd2a13c58890b9655a75e534e5b2449-p_e.jpg','https://photos.zillowstatic.com/fp/1b897e74bc089dfe9d0410de67cf9901-p_e.jpg','https://photos.zillowstatic.com/fp/99fe162e039aeb3564896265c80557e1-p_e.jpg','https://photos.zillowstatic.com/fp/db6fdba7f56cd9f369167b59cfb35e87-p_e.jpg','https://photos.zillowstatic.com/fp/22a14f0d62fa964ff7b7cc69f5f05b20-p_e.jpg','https://photos.zillowstatic.com/fp/4d2ce351105ba8ac3a9bb843948b1709-p_e.jpg','https://photos.zillowstatic.com/fp/59479183bd3d23795495749ba9ae81ad-p_e.jpg','https://photos.zillowstatic.com/fp/ad060a602ad777bb5d7352a67bff4458-p_e.jpg','https://photos.zillowstatic.com/fp/45d27d7e5043ffabadc31f6c1fe88a47-p_e.jpg','https://photos.zillowstatic.com/fp/662e546fb8789255846291800890272f-p_e.jpg','https://photos.zillowstatic.com/fp/d6f68c1eff63627225ec8171b470d89d-p_e.jpg','https://photos.zillowstatic.com/fp/deeef5469f93dfb0961ce10025c19219-p_e.jpg','https://photos.zillowstatic.com/fp/d64971be956d83da1753dd5bbba2393d-p_e.jpg','https://photos.zillowstatic.com/fp/29759d21db2e767ffb5b87f3332c523f-p_e.jpg','https://photos.zillowstatic.com/fp/266827c4a29e5453a9f6596cab0d4972-p_e.jpg','https://photos.zillowstatic.com/fp/375327a952ab3245851c9e02bc4f24ce-p_e.jpg','https://photos.zillowstatic.com/fp/1deee7745236f92f039f280d6b71168b-p_e.jpg','https://photos.zillowstatic.com/fp/ace551f63892dc298a4f3abc3eaa9add-p_e.jpg','https://photos.zillowstatic.com/fp/5bc13e63490205f26e1ec91ec14e7bc2-p_e.jpg','https://photos.zillowstatic.com/fp/cde3e29945d757f8e887de8dc19ee3cc-p_e.jpg','https://photos.zillowstatic.com/fp/e2ad965ca4cdf7a946453be08c02473f-p_e.jpg','https://photos.zillowstatic.com/fp/a825ad59523cdcdec1bc6ca3cb0d7c34-p_e.jpg','https://photos.zillowstatic.com/fp/d72ec443a5bd281867afb1332e2b0ccd-p_e.jpg']"
"3200 S Litzler Dr APT 25-149, Flagstaff, AZ 86005",https://www.zillow.com/homedetails/3200-S-Litzler-Dr-APT-25-149-Flagstaff-AZ-86005/71632319_zpid/,"$1,995/mo",2,2,805,"['https://photos.zillowstatic.com/fp/97403335969ad678386305ffbba901ef-p_e.jpg','https://photos.zillowstatic.com/fp/459ec2e2044937f632ba2e9f6030bbcb-p_e.jpg','https://photos.zillowstatic.com/fp/3c020f9cf2fe09017750e30ccfc0446d-p_e.jpg','https://photos.zillowstatic.com/fp/d17e76cbc2b8e37ebc144183f574805a-p_e.jpg','https://photos.zillowstatic.com/fp/bc8aa45d2662e88df79746b8b8752f11-p_e.jpg','https://photos.zillowstatic.com/fp/921cdb6ac523f47d4130455b4f0d5920-p_e.jpg','https://photos.zillowstatic.com/fp/deae5b76e203430433d687e644543563-p_e.jpg','https://photos.zillowstatic.com/fp/8536cd987da22cc2cd114fd110b850b0-p_e.jpg']"
"2589 N Oakmont Dr, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/2589-N-Oakmont-Dr-Flagstaff-AZ-86004/7369323_zpid/,"$3,200/mo",3,3,2363,"['https://photos.zillowstatic.com/fp/2dc144f60f71db33b69bc2b06d4daec2-p_e.jpg','https://photos.zillowstatic.com/fp/ba37b3b64e8b9159efa2a65ca84fb396-p_e.jpg','https://photos.zillowstatic.com/fp/c9ffc6667176bdfe103dfc2e300b8857-p_e.jpg','https://photos.zillowstatic.com/fp/452478cd6d34f856b778e8340c8e9353-p_e.jpg','https://photos.zillowstatic.com/fp/49fcbfc901c3e875f713e6a12c0b76f1-p_e.jpg','https://photos.zillowstatic.com/fp/f65150fdb85ff2d04306c2186ad20964-p_e.jpg','https://photos.zillowstatic.com/fp/c0fbf66684f0dab632e88f335ef8f215-p_e.jpg','https://photos.zillowstatic.com/fp/87a62c2d10e31cd3716e95a8459afa20-p_e.jpg','https://photos.zillowstatic.com/fp/9b7845aadfcf781d5db8efb28c68e177-p_e.jpg','https://photos.zillowstatic.com/fp/ad8a464673235dfe7248572946d5c4e0-p_e.jpg','https://photos.zillowstatic.com/fp/7b5cae1f8b6ac49b39617fad6b8f7bad-p_e.jpg','https://photos.zillowstatic.com/fp/fb2ba42facff2e868862259cce71e25c-p_e.jpg','https://photos.zillowstatic.com/fp/1815b3fde96b431e742eabab936f0283-p_e.jpg','https://photos.zillowstatic.com/fp/329f25bd9d1d72373a7f859b0fd18b9a-p_e.jpg','https://photos.zillowstatic.com/fp/757adf56512ca70670bf655dc374e005-p_e.jpg','https://photos.zillowstatic.com/fp/b27f8af1df1fed7204c7c39c65dc9bee-p_e.jpg','https://photos.zillowstatic.com/fp/0530b51186debb05fb33ee9546fab69f-p_e.jpg','https://photos.zillowstatic.com/fp/df2e74c1f7d13356c9c4c40fe06b1c83-p_e.jpg','https://photos.zillowstatic.com/fp/975f9b1c4a12fb6facd6ad1a7832812b-p_e.jpg','https://photos.zillowstatic.com/fp/2517d337affff4a8453648c1ea6c2ba4-p_e.jpg','https://photos.zillowstatic.com/fp/d5953966e0e05def29787e3099dfa569-p_e.jpg','https://photos.zillowstatic.com/fp/c53a832ac6de042709489b5b809435e0-p_e.jpg']"
"2439 W Silverton Dr, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/2439-W-Silverton-Dr-Flagstaff-AZ-86001/81979909_zpid/,"$3,000/mo",3,4,1598,"['https://photos.zillowstatic.com/fp/db4f6e1acf97fe90e502ad8fdb13dba9-p_e.jpg','https://photos.zillowstatic.com/fp/098ba039fdc07c63d89193f708b726f2-p_e.jpg','https://photos.zillowstatic.com/fp/ed42b66470143cec5d1997a54e325608-p_e.jpg','https://photos.zillowstatic.com/fp/e91a8620dede001d26b132175d23e0fb-p_e.jpg','https://photos.zillowstatic.com/fp/68c64d52840a80c716461205e43d76ea-p_e.jpg','https://photos.zillowstatic.com/fp/fa5db4fef59c6fa01c3b39dcc3683d47-p_e.jpg','https://photos.zillowstatic.com/fp/d129a89cc9429a1f3adc450a2961ad0e-p_e.jpg','https://photos.zillowstatic.com/fp/b40cf5a283e5ffe8bc78f8a68fbfb0c9-p_e.jpg','https://photos.zillowstatic.com/fp/3fab2a62b142a97cbfd96987604d190c-p_e.jpg','https://photos.zillowstatic.com/fp/5b1fe4d9aa4644b9e3c90dc0c1ebd091-p_e.jpg','https://photos.zillowstatic.com/fp/663a52a53c48aad9781017090837adbd-p_e.jpg','https://photos.zillowstatic.com/fp/d261ad409748422ba6068e087af8297e-p_e.jpg','https://photos.zillowstatic.com/fp/a180992902b6a98531070ebe195b5f4e-p_e.jpg','https://photos.zillowstatic.com/fp/d8165540ccf5c6aed72e3cf38bac5b20-p_e.jpg']"
"1391 N Indian Valley Way, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/1391-N-Indian-Valley-Way-Flagstaff-AZ-86004/7366099_zpid/,"$2,900/mo",3,2,1500,"['https://photos.zillowstatic.com/fp/496f062f0197c0a3ac9d6b6eb4a4608e-p_e.jpg','https://photos.zillowstatic.com/fp/20c09bd366ec608508a010b733cf1902-p_e.jpg','https://photos.zillowstatic.com/fp/887f829e0bc7a369ba602c0a0b5cefd7-p_e.jpg','https://photos.zillowstatic.com/fp/124dbc0ce1811bc1a73a49ad4eb8495c-p_e.jpg','https://photos.zillowstatic.com/fp/710b9b6e7c776e37130cb2b660440036-p_e.jpg','https://photos.zillowstatic.com/fp/6d359285400994f808bd966c16b76be5-p_e.jpg','https://photos.zillowstatic.com/fp/50b1b7347cd2abf4c0fa8c8728750662-p_e.jpg','https://photos.zillowstatic.com/fp/efee0e80d6e94feb5934d8d952431a7e-p_e.jpg','https://photos.zillowstatic.com/fp/1577aaf130e8d49fb654d3e629005c62-p_e.jpg','https://photos.zillowstatic.com/fp/36664aee98164bd9955193df1241b40b-p_e.jpg','https://photos.zillowstatic.com/fp/6a0af94b62761aa77fddc2d43e521cf3-p_e.jpg','https://photos.zillowstatic.com/fp/46f28f4aae8949fd2e9df9c937210b5e-p_e.jpg','https://photos.zillowstatic.com/fp/fbaa5990667c4a26517e78ff40cbf106-p_e.jpg','https://photos.zillowstatic.com/fp/c7de481da6b09513f58909f99adcffc1-p_e.jpg']"
"3106 E Manor Rd, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/3106-E-Manor-Rd-Flagstaff-AZ-86004/7360512_zpid/,"$3,100/mo",4,3,1835,"['https://photos.zillowstatic.com/fp/264e7f4b691be4bb5407214a08bc0c9a-p_e.jpg','https://photos.zillowstatic.com/fp/08a0da942199627c8f38974e35559450-p_e.jpg','https://photos.zillowstatic.com/fp/b5eadc12f4fef45f08c4b74efeec088d-p_e.jpg','https://photos.zillowstatic.com/fp/02430275c8e4ade2d18c45f60d8b888f-p_e.jpg','https://photos.zillowstatic.com/fp/56a071fb888c990b972fbfe5c7000f04-p_e.jpg','https://photos.zillowstatic.com/fp/3a7d06d94d13563f4083afff2d0a6b10-p_e.jpg','https://photos.zillowstatic.com/fp/9622088cc7d82f9009a42a1036611c13-p_e.jpg','https://photos.zillowstatic.com/fp/b31c303e0cff195af71d668aa3f5ca7e-p_e.jpg','https://photos.zillowstatic.com/fp/78da7bd6190a8075edce75c7c057339e-p_e.jpg','https://photos.zillowstatic.com/fp/6733cb0a4a18ad47c02bceb17365df68-p_e.jpg','https://photos.zillowstatic.com/fp/de38f16d701477699a28661f0104942a-p_e.jpg']"
"1275 W Palmer Ave, Flagstaff, AZ 86005",https://www.zillow.com/homedetails/1275-W-Palmer-Ave-Flagstaff-AZ-86005/7363747_zpid/,"$3,000/mo",4,2,1800,"['https://photos.zillowstatic.com/fp/8f1c0dab45f9ded135f07f166353e90b-p_e.jpg','https://photos.zillowstatic.com/fp/a3b4bda41a0250d979d1eb8638b7ec77-p_e.jpg','https://photos.zillowstatic.com/fp/6b403fe1681ddb3d4bdfbb047f79c029-p_e.jpg','https://photos.zillowstatic.com/fp/b9daca6b51490f2d0b776d285816bea3-p_e.jpg','https://photos.zillowstatic.com/fp/37c6e33601a09c54b82d0005d7607dae-p_e.jpg','https://photos.zillowstatic.com/fp/d6a0ee9cd8527419c76bc2f07bc90205-p_e.jpg','https://photos.zillowstatic.com/fp/ee7fe93bd11af04746327566b7d6a261-p_e.jpg','https://photos.zillowstatic.com/fp/a2d937dab9186b2b8313cacc7052ddc6-p_e.jpg','https://photos.zillowstatic.com/fp/bc838ea61b0c8cb499df7393d72bb16c-p_e.jpg','https://photos.zillowstatic.com/fp/eacc8c43959600aa3554b420d1769046-p_e.jpg','https://photos.zillowstatic.com/fp/687b1c56b77c06516cebb5eb87fdafde-p_e.jpg','https://photos.zillowstatic.com/fp/2cb3bc9779e5773508b44c11d295eb7f-p_e.jpg']"
"3835 N Forest Brook St, Flagstaff, AZ 86004",https://www.zillow.com/homedetails/3835-N-Forest-Brook-St-Flagstaff-AZ-86004/7361337_zpid/,"$3,200/mo",4,3,1951,"['https://photos.zillowstatic.com/fp/68597ec7fa531cfe2b7e924dcd193891-p_e.jpg','https://photos.zillowstatic.com/fp/791a486ff60f8dcc6473d6998af59959-p_e.jpg','https://photos.zillowstatic.com/fp/076a614ba006791e03fa0d344462d983-p_e.jpg','https://photos.zillowstatic.com/fp/0fb80d7a074c5f02c288692091b696f2-p_e.jpg','https://photos.zillowstatic.com/fp/f96687a6458bfb93c55dfb91fdf443e5-p_e.jpg','https://photos.zillowstatic.com/fp/16648a382d723e579851f0ab99ea6166-p_e.jpg','https://photos.zillowstatic.com/fp/ff5620f6ea54324813a8cf832aa535a4-p_e.jpg','https://photos.zillowstatic.com/fp/573be8f1c10cf036355f7f0befa6bfd2-p_e.jpg','https://photos.zillowstatic.com/fp/f9000a845b8ce851a15ada1e7a5392ff-p_e.jpg','https://photos.zillowstatic.com/fp/e95a615b428177603862cfd84c906ac0-p_e.jpg','https://photos.zillowstatic.com/fp/db080c18cf7cddfc436bcec947b9a1dd-p_e.jpg','https://photos.zillowstatic.com/fp/61b5c13d0c29e5a4ce855641377108c0-p_e.jpg','https://photos.zillowstatic.com/fp/5c3019e3b46b285eaf48fc819a51f923-p_e.jpg','https://photos.zillowstatic.com/fp/a7bbc5a400bed5a112279ce958a623f6-p_e.jpg','https://photos.zillowstatic.com/fp/652e48929cb672e8af0141f45bef1c35-p_e.jpg','https://photos.zillowstatic.com/fp/319b585a6ae6e397a3e809baa6d8753c-p_e.jpg','https://photos.zillowstatic.com/fp/3beff957a449bced22df8df76f8fd59b-p_e.jpg','https://photos.zillowstatic.com/fp/bb44e93d9631b47c37617a1fea070043-p_e.jpg','https://photos.zillowstatic.com/fp/4126ed6e0baa5f1772e33bbfaac2f249-p_e.jpg','https://photos.zillowstatic.com/fp/ee974acc6d583a03d0eab1a7c5fe2244-p_e.jpg','https://photos.zillowstatic.com/fp/c47c0de355c0ee7d8905ebcfc2d8ef6b-p_e.jpg','https://photos.zillowstatic.com/fp/5c8034d41b259e14350446a13c392ff2-p_e.jpg','https://photos.zillowstatic.com/fp/92f21f2854481e6193c40e72ece05342-p_e.jpg','https://photos.zillowstatic.com/fp/2d4b297990fb7139dd3d792fd48048f7-p_e.jpg','https://photos.zillowstatic.com/fp/2c6e602afd6349b0c098f44793a4a477-p_e.jpg','https://photos.zillowstatic.com/fp/12bb42fd22fc328bd13e2f96712bc502-p_e.jpg','https://photos.zillowstatic.com/fp/59d2e3e6d822dbb09cf164ed9699857a-p_e.jpg']"
"912 W Elizabeth Rd, Flagstaff, AZ 86001",https://www.zillow.com/homedetails/912-W-Elizabeth-Rd-Flagstaff-AZ-86001/7356749_zpid/,"$3,600/mo",4,2,1367,"['https://photos.zillowstatic.com/fp/024302a3ad6c6273341fcc2c18adb648-p_e.jpg','https://photos.zillowstatic.com/fp/cbb47d58ab35c39d94702a78f2dc2248-p_e.jpg','https://photos.zillowstatic.com/fp/1ea07cd00753bc834a796e05514fe017-p_e.jpg','https://photos.zillowstatic.com/fp/4663007d0098a411c2218b3edb4527f4-p_e.jpg','https://photos.zillowstatic.com/fp/005a6be5b2acf6d25b2955b41fe9e0c2-p_e.jpg','https://photos.zillowstatic.com/fp/a1233c59c86da6dceacb0a18e64be82c-p_e.jpg','https://photos.zillowstatic.com/fp/0e8de8e028872a2088f32c66e9db7b98-p_e.jpg','https://photos.zillowstatic.com/fp/fc7046dcb39a14964954cabd3f83fc0c-p_e.jpg','https://photos.zillowstatic.com/fp/1474751fba40a8d1b630a6f3662e3f9a-p_e.jpg','https://photos.zillowstatic.com/fp/bf788bf7321a931a379fee08d4db71b2-p_e.jpg','https://photos.zillowstatic.com/fp/806b5b9235710e95eb8910cdd47301d0-p_e.jpg','https://photos.zillowstatic.com/fp/08e05e591358ca50a99e8fecaf483cd6-p_e.jpg','https://photos.zillowstatic.com/fp/69a4ef8eef6979830f3ecd86aaa27f47-p_e.jpg','https://photos.zillowstatic.com/fp/5b4de439fc0e53b90ba9e4431612b0c9-p_e.jpg']"
"1400 W Cox Ave, Flagstaff, AZ 86005",https://www.zillow.com/homedetails/1400-W-Cox-Ave-Flagstaff-AZ-86005/7363804_zpid/,"$1,950/mo",2,1,1100,"['https://photos.zillowstatic.com/fp/4fd3f74c31c9610abb615905cb06b073-p_e.jpg','https://photos.zillowstatic.com/fp/122b41bbcb7939dfa344f0e06f4ef4fc-p_e.jpg','https://photos.zillowstatic.com/fp/c347d7e9dccc797babb4d2c9850d4465-p_e.jpg','https://photos.zillowstatic.com/fp/8dd74e5721c486aac57ee1ec280e7f46-p_e.jpg','https://photos.zillowstatic.com/fp/ba6e8103a898cd3b94ae408d0893816e-p_e.jpg','https://photos.zillowstatic.com/fp/243ae9607330c60b6cd29bae06048b35-p_e.jpg','https://photos.zillowstatic.com/fp/2cb8a563faa42c3c0ec80aac92f3e480-p_e.jpg']"
